id,conflict_new_id,conflict_name,dyad_name,side_a,side_b,source_article,source_office,source_date,source_headline,source_original,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,high
255132,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Bakhtar News Agency,2018-01-01,Taliban Associates Killed In Nooristan Conflict""",Bakhtar News Agency,01/01/2018,Taliban Associates Killed In Nooristan Conflict,Police,Waygal district,35.227695,71.028372,Afghanistan,Asia,31/12/2017,31/12/2017,0,9,0,0,9
244813,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Reuters News,2017-10-26,COLUMN-Commentary: In Sunni North Africa, fears of Iranâ€™s Shiâ€™ite shadow""",Reuters News,26/10/2017,"COLUMN-Commentary: In Sunni North Africa, fears of Iranâ€™s Shiâ€™ite shadow",,Algeria,28,3,Algeria,Africa,01/01/2017,26/10/2017,0,0,0,0,4
236536,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""BBC Monitoring Middle East,2017-02-18,Nine militants reportedly die in Algerian ""anti-terror"" operation""",BBC Monitoring Middle East,18/02/2017,"Nine militants reportedly die in Algerian ""anti-terror"" operation",ministry of defence,Algeria,28,3,Algeria,Africa,01/01/2017,27/02/2017,0,0,0,0,5
234170,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""All Africa,2017-01-03,Two Dangerous Terrorists Killed in Laghouat""",All Africa,03/01/2017,Two Dangerous Terrorists Killed in Laghouat,National Defence Ministry (MDN).,Laghouat province,33.583333,2.666667,Algeria,Africa,02/01/2017,02/01/2017,0,2,0,0,2
236534,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Reuters News,2017-02-16,Algeria army kills five Islamist militants - defense ministry"";""Reuters News,2017-02-17,Algerian army kills 14 militants in eastern operation - ministry""",Reuters News;Reuters News,2017-02-16;2017-02-17,Algeria army kills five Islamist militants - defense ministry;Algerian army kills 14 militants in eastern operation - ministry,defense ministry,Bouira province,36.25,3.916667,Algeria,Africa,15/02/2017,15/02/2017,0,5,0,0,5
236535,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Reuters News,2017-02-17,Algerian army kills 14 militants in eastern operation - ministry"";""BBC Monitoring Middle East,2017-02-18,Nine militants reportedly die in Algerian ""anti-terror"" operation""",Reuters News;BBC Monitoring Middle East,2017-02-17;2017-02-18,"Algerian army kills 14 militants in eastern operation - ministry;Nine militants reportedly die in Algerian ""anti-terror"" operation",Defence Ministry,El Adjiba village,36.327456,4.158456,Algeria,Africa,16/02/2017,16/02/2017,0,9,0,0,9
236537,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""Agence France Presse,2017-02-27,Police foil Algeria suicide attack"";""Reuters News,2017-02-27,Bomber targets police office in eastern Algerian city: state media"";""Reuters News,2017-02-27,UPDATE 1-Bomber targets police office in eastern Algerian city - state media"";""Agence France Presse,2017-02-27,IS claims Algeria 'foiled' suicide attack""",Agence France Presse;Reuters News;Reuters News;Agence France Presse,2017-02-27;2017-02-27;2017-02-27;2017-02-27,Police foil Algeria suicide attack;Bomber targets police office in eastern Algerian city: state media;UPDATE 1-Bomber targets police office in eastern Algerian city - state media;IS claims Algeria 'foiled' suicide attack,officials ,Constantine town,36.365,6.614722,Algeria,Africa,26/02/2017,26/02/2017,0,1,0,0,2
236538,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Agence France Presse,2017-02-28,Nine jihadists 'neutralised' in Algeria: ministry"";""Reuters News,2017-02-28,Algerian troops kill nine Islamist militants east of Algiers - ministry""",Agence France Presse;Reuters News,2017-02-28;2017-02-28,Nine jihadists 'neutralised' in Algeria: ministry;Algerian troops kill nine Islamist militants east of Algiers - ministry,Defence Ministry,Azeffoun town,36.889531,4.424015,Algeria,Africa,28/02/2017,28/02/2017,0,9,0,0,9
237078,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Agence France Presse,2017-03-06,Two Islamists killed east of Algiers: ministry""",Agence France Presse,06/03/2017,Two Islamists killed east of Algiers: ministry,defence ministry ,Dellys town,36.91716,3.913107,Algeria,Africa,06/03/2017,06/03/2017,0,2,0,0,2
241335,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""CrisisWatch ,2017-03-31,Algeria  MARCH 2017""",CrisisWatch ,31/03/2017,Algeria  MARCH 2017,,Bordj Bou Arreridj town,36.075,4.775,Algeria,Africa,11/03/2017,11/03/2017,0,2,0,0,2
